index,value,Density,gASA [m^2/g],AVAf [fraction],AVAg [cm^3/g],Di (LCD) [A],Df (PLD)[A]
47853,5.150536122393576,0.988934,441.173,0.01276,0.0129028,6.01459,4.28825
106702,6.258792570506493,0.976391,685.983,0.03468,0.0355186,6.32789,5.54041
92749,4.864822764813787,1.04046,680.874,0.04174,0.0401167,6.14061,5.51009
109096,2.5080864205629267,1.05981,583.206,0.03146,0.0296845,6.1103,4.87574
113456,2.378739320576009,1.0543,646.197,0.02778,0.0263492,6.02914,5.32486
107255,5.882663229100521,1.07479,321.393,0.0086,0.00800154,5.25281,4.40668
107316,3.642838461830472,1.04686,643.13,0.02518,0.0240529,5.79574,5.28171
106709,7.926242590338864,0.986405,592.86,0.02584,0.0261961,6.00763,4.94482
47649,3.7348708275653753,0.933668,586.663,0.0229,0.0245269,6.32295,4.85246
92379,6.2461855706329645,0.983559,364.949,0.01152,0.0117126,5.69266,4.61
85940,4.823523584462874,0.98174,566.442,0.02348,0.0239167,5.82345,5.05294
107597,5.033051996219111,0.970458,404.549,0.01728,0.017806,5.64016,4.89456
106152,5.782020724556837,0.990175,326.934,0.0105,0.0106042,5.67061,4.15662
109132,5.591035370767061,1.01847,492.371,0.0191,0.0187536,5.62373,5.01409
117909,5.977432682534896,0.990446,460.246,0.01594,0.0160938,5.55619,4.89342
5965,5.222214611039949,0.911151,547.38,0.01722,0.0188992,6.13203,4.13173
74379,4.104204318456682,0.97444,526.933,0.02156,0.0221255,5.69672,4.74516
117887,3.9610450015945533,0.996576,476.002,0.01592,0.0159747,5.5337,4.8718
113439,2.2476583977433666,1.03779,434.384,0.01678,0.016169,5.57679,4.76366
117897,5.281645059104181,1.01067,504.481,0.0184,0.0182058,5.99067,4.11093
47657,3.78974698697591,0.953719,612.718,0.02784,0.029191,6.51171,4.88746
107427,3.9643695646574386,0.991277,585.048,0.0262,0.0264305,6.10665,4.7792
85960,5.174594691349041,1.04529,485.727,0.01772,0.0169522,5.7451,4.4151
46549,6.15689300094281,1.02271,466.07,0.01494,0.0146083,5.68059,4.25646
10823,5.508580578469908,1.01652,528.874,0.01734,0.0170582,5.82652,4.14117
90450,3.9225008336662355,1.01694,507.72,0.01658,0.0163039,5.66773,4.48046
84854,4.513842325037265,1.08081,388.97,0.01322,0.0122316,5.59231,4.38039
87678,9.19484171002296,1.02707,569.84,0.02372,0.0230947,6.022,4.37769
12645,4.494206948700391,0.952631,608.536,0.0234,0.0245636,5.85505,4.97017
108901,5.276739217713069,0.940741,646.497,0.01976,0.0210047,5.97971,4.18773
13171,3.841706824518106,1.00851,610.22,0.022,0.0218144,5.98495,4.43804
89917,5.35813409569923,0.955209,673.297,0.02574,0.026947,6.06639,5.04451
3496,6.34125019642955,0.984576,638.21,0.02522,0.0256151,6.36221,4.28853
74377,4.153345173086213,0.882668,677.89,0.0297,0.033648,6.48315,5.05492
107308,4.812487305732914,0.983107,575.478,0.02202,0.0223984,6.07661,4.47591
74437,4.544186636176678,0.978673,668.052,0.03168,0.0323704,5.99834,4.8387
49206,7.8799412815377545,0.999114,603.78,0.02384,0.0238611,5.82455,4.43818
107678,5.133773447144188,0.922862,716.92,0.02366,0.0256376,6.29961,5.38729
51954,4.750830542836148,0.963397,645.565,0.02332,0.024206,5.90395,4.44664
106731,6.668967626372178,0.986188,666.07,0.03022,0.0306432,6.11536,5.13076
34659,5.128061201597799,0.986975,659.886,0.01934,0.0195952,5.91457,4.45826
46740,6.306581267635946,1.00772,654.889,0.02554,0.0253444,5.92603,4.46298
106172,4.000886630605859,0.98071,669.275,0.01834,0.0187007,5.92531,4.23362
76869,4.957859116096169,0.88944,677.671,0.02014,0.0226435,6.07075,4.18948
47310,5.897926907756546,0.972124,651.705,0.02294,0.0235978,5.86679,4.61267
46547,7.002122545732327,1.00509,712.13,0.02764,0.0275,6.1457,4.4009
84882,6.039753983477996,0.936745,750.781,0.03282,0.0350362,6.22437,4.36156
13179,5.264934812782427,0.95864,709.396,0.02696,0.0281232,5.97672,4.74287
34670,4.179709384122523,0.987792,716.341,0.0345,0.0349264,6.34961,5.1024
34641,5.000000658324998,0.876066,607.88,0.0271,0.0309337,5.8775,5.10899
4315,5.477501042809931,0.971564,737.581,0.038,0.0391122,5.99608,5.02457
20721,3.625873931318954,0.879844,644.833,0.01708,0.0194125,5.90342,4.18511
108306,8.190843525172124,0.881801,718.975,0.02546,0.0288727,6.14361,4.67204
18564,6.57937581489278,1.04474,646.165,0.03054,0.0292323,6.22969,4.54347
106867,5.934239859841115,0.919399,778.877,0.0318,0.0345878,6.07351,5.26612
47359,3.7371156746398246,0.891256,784.662,0.035,0.0392704,6.15317,4.82422
97361,5.790715853417504,0.860325,821.508,0.03156,0.0366838,6.3832,4.53136
108101,4.591813807503906,0.980465,777.238,0.0301,0.0306997,6.11361,4.92921
13211,4.760297288361959,0.9585,622.389,0.01768,0.0184455,6.63473,4.28962
58790,3.433658154827654,0.948539,813.197,0.032,0.0337361,6.15983,4.13085
4375,5.423460252623987,1.00998,738.682,0.03784,0.037466,6.15788,4.9362
47666,4.1729840346201925,0.875043,727.369,0.02828,0.0323184,5.96514,4.86743
8111,5.2032425309134664,0.975803,795.572,0.02762,0.0283049,6.16418,4.56584
34636,4.48178224404384,1.00007,766.016,0.032,0.0319977,6.0944,4.54337
109084,1.4156146429085927,1.02404,692.462,0.03614,0.0352914,6.34698,4.896
53565,6.728796417859727,0.965414,723.953,0.03194,0.0330843,6.52839,4.37412
7360,4.92097973088251,0.978192,647.29,0.0223,0.0227972,5.79264,4.12401
115947,4.479814311670306,1.01088,677.933,0.02918,0.0288659,5.92737,4.9743
