cif_path,voidfraction[widom],density[kg/m^3],surfacearea[m^2/g],LCD[A],PLD[A],H%,N%,O%,C%
../hCOF/linker100_CH2_linker44_NH_und_relaxed.cif,0.874956,227.3529294,7647.1,18.87842,14.96051,41.30434783,8.695652174,6.52173913,43.47826087
../hCOF/linker100_CH2_linker45_NH_qtz_relaxed.cif,0.894571,201.8315752,6907.34,16.85039,15.61442,38.23529412,11.76470588,2.941176471,47.05882353
../hCOF/linker100_CH2_linker45_NH_qtz_relaxed_interp_2.cif,0.757093,403.6631504,4324.9,15.7188,15.15792,38.23529412,11.76470588,2.941176471,47.05882353
../hCOF/linker100_CH2_linker45_NH_und_relaxed.cif,0.915133,174.4814679,7512.73,19.89886,16.71044,38.23529412,11.76470588,2.941176471,47.05882353
../hCOF/linker100_CH2_linker46_NH_und_relaxed.cif,0.902904,182.9078675,7685.41,22.33969,17.13985,40.54054054,10.81081081,2.702702703,45.94594595
../hCOF/linker100_CH2_linker47_NH_qtz_relaxed.cif,0.87952,237.9163059,6552.24,16.32825,15.02771,37.5,10,2.5,50
../hCOF/linker100_CH2_linker47_NH_und_relaxed.cif,0.901399,205.866292,7646.59,17.06509,15.65445,37.5,10,2.5,50
../hCOF/linker100_CH2_linker48_NH_qtz_relaxed.cif,0.872314,220.687689,7329.4,17.18114,16.5314,42.5,10,2.5,45
../hCOF/linker100_CH2_linker48_NH_und_relaxed.cif,0.889942,193.1571638,7652.44,18.51357,15.42314,42.5,10,2.5,45
../hCOF/linker100_CH2_linker49_NH_qtz_relaxed.cif,0.894084,213.6134442,6588.89,16.3568,15.23247,37.14285714,11.42857143,5.714285714,45.71428571
../hCOF/linker100_CH2_linker49_NH_qtz_relaxed_interp_2.cif,0.761769,427.2268885,4640.6,12.58868,9.82128,37.14285714,11.42857143,5.714285714,45.71428571
../hCOF/linker100_CH2_linker49_NH_und_relaxed.cif,0.911489,184.4244205,7392.81,19.24504,15.95433,37.14285714,11.42857143,5.714285714,45.71428571
../hCOF/linker100_CH2_linker4_NH_und_relaxed.cif,0.913219,171.634995,7207.55,23.52294,20.59206,37.5,9.375,9.375,43.75
../hCOF/linker100_CH2_linker50_NH_und_relaxed.cif,0.893027,193.4579573,7523.14,18.82529,15.99279,41.02564103,12.82051282,2.564102564,43.58974359
../hCOF/linker100_CH2_linker51_NH_und_relaxed.cif,0.880442,209.5237857,7383.07,17.65898,14.9549,43.18181818,9.090909091,2.272727273,45.45454545
../hCOF/linker100_CH2_linker52_NH_qtz_relaxed.cif,0.880305,223.2032095,7018.6,16.36236,15.21404,39.47368421,10.52631579,5.263157895,44.73684211
../hCOF/linker100_CH2_linker53_NH_und_relaxed.cif,0.86519,210.9631323,7573.34,16.59318,14.9493,45.65217391,8.695652174,2.173913043,43.47826087
../hCOF/linker100_CH2_linker54_NH_qtz_relaxed.cif,0.874257,244.8626479,6418.62,17.50275,16.90871,34.21052632,10.52631579,10.52631579,44.73684211
../hCOF/linker100_CH2_linker54_NH_und_relaxed.cif,0.901067,211.5081279,7000.96,17.28804,15.6536,34.21052632,10.52631579,10.52631579,44.73684211
../hCOF/linker100_CH2_linker57_NH_und_relaxed.cif,0.910955,184.9012175,7006.29,20.41752,18.13561,37.14285714,11.42857143,5.714285714,45.71428571
../hCOF/linker100_CH2_linker58_NH_qtz_relaxed.cif,0.9064,170.2846657,7615.13,16.07273,15.37263,39.28571429,14.28571429,3.571428571,42.85714286
../hCOF/linker100_CH2_linker58_NH_qtz_relaxed_interp_2.cif,0.787487,340.5693314,5537.35,15.53229,14.88649,39.28571429,14.28571429,3.571428571,42.85714286
../hCOF/linker100_CH2_linker58_NH_und_relaxed.cif,0.925546,146.0544331,7677.94,24.86972,22.72261,39.28571429,14.28571429,3.571428571,42.85714286
../hCOF/linker100_CH2_linker59_NH_qtz_relaxed.cif,0.896376,180.3687705,7527.07,16.40088,15.56196,41.93548387,12.90322581,3.225806452,41.93548387
../hCOF/linker100_CH2_linker59_NH_qtz_relaxed_interp_2.cif,0.764952,360.7375411,5381.82,15.07931,14.49201,41.93548387,12.90322581,3.225806452,41.93548387
../hCOF/linker100_CH2_linker59_NH_und_relaxed.cif,0.916088,154.871363,7737.27,23.22472,20.57294,41.93548387,12.90322581,3.225806452,41.93548387
../hCOF/linker100_CH2_linker60_NH_qtz_relaxed.cif,0.884002,190.6650276,7664.97,15.94609,14.70168,44.11764706,11.76470588,2.941176471,41.17647059
