cif_path,VF,vSA,gSA,PLD,LCD,DR,log_Kxe,log_Kkr,K_selec
../hMOF/AFITUF_clean.cif,0.5322,1391.46,1051.86,5.08524,7.1406600000000005,1.4041933124100336,-6.859670125,-10.0431934,4.569817632425841
../hMOF/AFIXAO_clean.cif,0.5702,1320.24,1176.44,4.520969999999998,6.3306,1.4002747198057053,-6.036407521,-9.705392717,5.055279557116929
../hMOF/AFIXES_clean.cif,0.5758,1304.99,1159.23,4.7481,6.43864,1.356045576125187,-6.170170249,-9.711027564,4.927151675897517
../hMOF/AFOVAT_clean.cif,0.61,1670.63,1605.18,6.5475400000000015,8.32882,1.2720533207891822,-6.176642981,-9.06074864,4.270400020033444
../hMOF/AFOYAW_clean.cif,0.6112,1810.39,1850.89,4.22739,5.94533,1.4063831347474447,-6.54746189,-9.575436388,4.414268859708165
../hMOF/AFOYEB_clean.cif,0.4054,585.7719999999998,348.21,5.81418,5.92566,1.019173812988246,-6.969275427,-10.68972857,5.106747505259763
../hMOF/AFOYOK_clean.cif,0.588,1633.89,1668.18,5.71785,7.73482,1.3527497223606777,-8.004088167,-10.47111989,3.853326080952951
../hMOF/AFUKET_clean.cif,0.5958,1662.19,1731.99,4.7743,5.96671,1.2497559851706008,-3.546470583,-8.187853474,6.027677251652969
../hMOF/AFUPEX_clean.cif,0.6146,2204.93,1590.39,4.58891,5.43312,1.1839674345323834,-7.812253319,-10.33553588,3.9095769266465688
../hMOF/AGARUW_clean.cif,0.5056,1346.33,759.804,6.25183,6.77693,1.083991407315938,-8.412229755,-11.19277136,4.166835968657722
../hMOF/AGONAM_clean.cif,0.568,1370.35,953.171,4.90729,5.6322199999999984,1.1477251191594546,-6.823469279,-10.09882383,4.661648916639626
../hMOF/AGONEQ_clean.cif,0.6752,2263.15,2090.61,5.90611,6.16099,1.0431553086549352,-8.240220763,-10.78008172,3.9261553210492495
../hMOF/AGUBUA_clean.cif,0.5760000000000001,1345.91,734.196,4.59563,5.46218,1.188559566370661,-5.408831137,-9.178783567,5.156246790745191
../hMOF/AGUVOO_charged.cif,0.5820000000000001,1517.34,1302.94,4.11181,6.0722,1.4767705706246153,-7.114998415,-10.11850422,4.389800163181395
../hMOF/AGUWUV_clean.cif,0.4742,696.602,460.67800000000005,3.32227,4.50011,1.3545286806912142,-8.564159021,-10.43269441,3.2548297546738323
../hMOF/AHAMAY_clean.cif,0.401,500.11300000000006,222.279,3.90831,4.44036,1.1361330088964283,-7.284898272,-10.0214426,4.122838692545367
../hMOF/AHIYOH_clean.cif,0.4554,843.163,591.503,4.749219999999998,5.55847,1.1703964019354756,-4.687033383,-8.703396272,5.402657249624029
../hMOF/AHOKIR_clean.cif,0.4884,939.705,499.294,3.47861,4.49939,1.2934447954786537,-8.215634102,-10.46510134,3.6357615945495962
../hMOF/AHOKIR01_clean.cif,0.4868,892.53,463.167,3.4683900000000003,4.30721,1.2418470817872271,-6.443229124,-7.885836312,2.828901549187865
../hMOF/AHOKOX_clean.cif,0.5116,1360.22,781.89,3.5428800000000003,4.49188,1.2678611750891928,-8.548694178,-10.50971603,3.347316209708522
../hMOF/AJAKON_clean.cif,0.5024,1066.44,780.005,4.32303,5.2765,1.2205559526535787,-5.901572656,-9.396510927,4.881232631669444
../hMOF/AJAYIT_clean.cif,0.4314,840.7510000000002,423.782,4.8930099999999985,7.1261100000000015,1.4563857421096624,-6.041520712,-9.851322139,5.1960957873566835
../hMOF/AJIGIL_clean.cif,0.4838,996.607,914.419,5.54656,6.71352,1.210393469105175,-7.181115073,-10.35769343,4.562872713820705
../hMOF/AJOTEY_clean.cif,0.6358,1942.39,1546.98,5.2007400000000015,5.91075,1.1365209566330947,-9.086230725,-11.38813592,3.688199557396723
../hMOF/AJOVEB_clean.cif,0.4138,774.4739999999998,395.845,4.856319999999998,5.15455,1.0614106978123352,-7.961743211,-10.61104608,4.035597229340368
../hMOF/AJOXAA_clean.cif,0.5468,1380.73,902.948,4.38157,6.6085699999999985,1.5082653021633798,-6.920270266,-10.01393878,4.479962877057983
../hMOF/AKEDIF_clean.cif,0.5828,1673.96,1808.02,5.31262,5.94406,1.1188566093565888,-5.259194735,-8.840688987,4.967788613399384
../hMOF/AKOBAF_clean.cif,0.498,997.702,867.1080000000002,3.80044,4.84557,1.2750023681468463,-4.257115288,-8.265287271,5.3944663444304535
../hMOF/AKOHEO_clean.cif,0.4804,1051.21,442.55,3.4623699999999995,5.56086,1.6060848493950677,-10.57258233,-12.6343817,3.4480937367903963
../hMOF/AKOXIJ_clean.cif,0.528,1022.79,716.43,4.33707,7.01714,1.6179448337241504,-1.431936286,-6.131973368,6.086331443248925
../hMOF/AKUKUO_clean.cif,0.5004,1062.64,814.426,4.3848400000000005,5.04792,1.1512210251685353,-4.985717829,-8.823976537,5.224553069551927
../hMOF/ALAHUS_clean.cif,0.5724,1533.73,1122.76,5.45466,7.1812,1.3165256862939212,-7.958709473,-10.65703463,4.084619518684145
../hMOF/ALEQIT_clean.cif,0.434,677.8,355.702,3.96262,5.78407,1.4596580040478269,-6.243949374,-9.858961706,5.001306693
../hMOF/ALIXAU_clean_h.cif,0.4726,670.443,467.985,3.91412,6.17139,1.5766992325222526,-7.729713582,-10.02293122,3.6795119957707016
../hMOF/ALIXOJ_clean.cif,0.6394,2007.79,2049.12,5.01976,7.8603,1.5658716751398474,-8.406573529,-10.6528369,3.6325577301806766
../hMOF/ALIXUP_clean.cif,0.5492,1367.26,1021.37,5.75713,6.38387,1.1088632704142516,-10.84634816,-12.37071618,2.9106623865188284
../hMOF/ALOLES_ion_b.cif,0.4238,502.012,227.343,4.2576800000000015,5.85254,1.3745842806411004,-8.556932439,-11.77604892,4.605410839682733
../hMOF/ALOLIY_clean.cif,0.537,992.554,832.898,5.12412,6.86569,1.3398768959353022,-10.73861313,-12.68998698,3.337668212702449
../hMOF/ALOLOD_charged.cif,0.6338,1801.13,2004.72,5.02701,7.8730600000000015,1.566151648793219,-7.440490849,-10.08319812,4.029001633166982
