index,value,VF,vSA,gSA,PLD,LCD,DR,log_Kxe,log_Kkr,K_selec
30,2.28671522034851,0.5272,1216.8,1099.29,4.59021,6.64699,1.4480797174856923,-4.357404268,-8.210304257,5.239194350003422
62,2.022902275536258,0.5702,1320.24,1176.44,4.520969999999998,6.3306,1.4002747198057053,-6.036407521,-9.705392717,5.055279557116929
19,2.2659795599400514,0.598,1729.7,1505.09,4.65537,7.1439,1.5345504224154043,-6.457890584,-9.615233644,4.5436374211565935
74,2.639646048559575,0.5820000000000001,1517.34,1302.94,4.11181,6.0722,1.4767705706246153,-7.114998415,-10.11850422,4.389800163181395
51,1.4993217230901834,0.456,447.49300000000005,263.145,3.86825,5.46006,1.4115064951851612,-7.046793233,-10.29570085,4.635201982588672
11,1.0605664212530224,0.4458,564.007,418.836,3.82431,4.33176,1.132690603010739,-7.621045985,-9.59373924,3.3589876164051735
8,1.544080766946525,0.4642,894.0210000000002,463.392,3.94356,4.70447,1.1929500248506424,-8.178726516,-10.84065469,4.048222532679152
68,1.9653536513235252,0.5958,1662.19,1731.99,4.7743,5.96671,1.2497559851706008,-3.546470583,-8.187853474,6.027677251652969
13,1.759349764513673,0.621,1745.23,1506.68,4.0303900000000015,5.07969,1.2603470135644443,-6.981137053,-9.681408568,4.086565875448792
10,1.6067638081840823,0.5866,1873.93,977.272,4.0515,6.22728,1.5370307293594967,-11.32564953,-12.94072122,3.0013660444239485
36,3.0304890351851457,0.4476,446.112,304.2390000000001,3.3150699999999995,4.5494900000000005,1.3723661943790024,-6.856919589,-9.677184199,4.2065589705005335
28,2.453572231772796,0.5820000000000001,1340.62,1139.36,7.0365,7.2744,1.0338094222980174,-4.759080395,-8.049191565,4.676405531230227
25,3.2935411678055715,0.591,1596.38,1318.96,7.0599,7.194,1.0189946033229933,-5.869792196,-8.994559861,4.511062026792484
88,2.7284952365331794,0.498,997.702,867.1080000000002,3.80044,4.84557,1.2750023681468463,-4.257115288,-8.265287271,5.3944663444304535
42,2.9846362473142447,0.4076,820.91,477.29,4.5372,5.192,1.1443180816362517,-5.18509583,-9.252146184,5.453344714900679
99,2.096780076360921,0.6338,1801.13,2004.72,5.02701,7.8730600000000015,1.566151648793219,-7.440490849,-10.08319812,4.029001633166982
61,1.9296734938628415,0.5322,1391.46,1051.86,5.08524,7.1406600000000005,1.4041933124100336,-6.859670125,-10.0431934,4.569817632425841
94,1.656069104827286,0.4726,670.443,467.985,3.91412,6.17139,1.5766992325222526,-7.729713582,-10.02293122,3.6795119957707016
